Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass
145,JESÚS SANTIAGO PÉREZ,GETAFE CF,1,7,0.14,239,0,0,440,69,88
250,JOHN PATRICK,GETAFE CF,0,0,0,239,0,0,566,0,0
250,JORGE BENITO,GETAFE CF,0,0,0,239,0,0,566,0,0
250,JORGE MARTÍN,GETAFE CF,0,9,0,239,0,0,382,112,170
145,JOSÉ ÁNGEL CARMONA,GETAFE CF,1,22,0.05,137,1,0.05,348,169,227
250,JUAN IGLESIAS,GETAFE CF,0,22,0,74,2,0.09,242,294,453
95,JUANMI LATASA,GETAFE CF,2,25,0.08,239,0,0,308,165,310
250,LUIS MILLA,GETAFE CF,0,19,0,137,1,0.05,113,663,802
27,MASON GREENWOOD,GETAFE CF,6,25,0.24,14,5,0.2,163,530,660
250,MAURO ARAMBARRI,GETAFE CF,0,7,0,239,0,0,403,111,135
250,NABIL ABERDIN,GETAFE CF,0,0,0,239,0,0,566,0,0
47,NEMANJA MAKSIMOVIC,GETAFE CF,4,29,0.14,239,0,0,108,667,824
250,OMAR ALDERETE,GETAFE CF,0,23,0,137,1,0.04,151,438,691
250,SANTIAGO GARCÍA,GETAFE CF,0,1,0,239,0,0,538,6,7
250,SERGIO GIMENO,GETAFE CF,0,0,0,239,0,0,566,0,0
145,STEFAN MITROVIC,GETAFE CF,1,11,0.09,239,0,0,337,191,251
145,ÓSCAR RODRÍGUEZ,GETAFE CF,1,17,0.06,239,0,0,327,213,271
66,ALEIX GARCÍA,GIRONA FC,3,29,0.1,10,6,0.21,2,1968,2148
250,ANTAL YAAKOBISHVILI,GIRONA FC,0,1,0,239,0,0,489,37,42
250,ARNAU MARTÍNEZ,GIRONA FC,0,15,0,74,2,0.13,195,521,579
1,ARTEM DOVBYK,GIRONA FC,16,28,0.57,14,5,0.18,314,208,292
250,BERNARDO ESPINOSA,GIRONA FC,0,2,0,239,0,0,533,7,8
250,BORJA GARCÍA,GIRONA FC,0,0,0,239,0,0,566,0,0
20,CRISTHIAN STUANI,GIRONA FC,8,28,0.29,74,2,0.07,426,76,106
47,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,4,28,0.14,26,4,0.14,340,203,247
145,DALEY BLIND,GIRONA FC,1,26,0.04,74,2,0.08,6,1704,1899
95,DAVID LÓPEZ,GIRONA FC,2,18,0.11,239,0,0,39,1055,1146
95,ERIC GARCÍA,GIRONA FC,2,24,0.08,239,0,0,13,1439,1593
250,ERIC MONJONELL,GIRONA FC,0,0,0,239,0,0,566,0,0
250,IBRAHIMA KÉBÉ,GIRONA FC,0,2,0,239,0,0,533,5,8
250,IKER ALMENA,GIRONA FC,0,0,0,239,0,0,566,0,0
47,IVÁN MARTÍN,GIRONA FC,4,29,0.14,74,2,0.07,34,1147,1246
250,JASTIN GARCÍA,GIRONA FC,0,2,0,239,0,0,563,1,2
250,JHON SOLÍS,GIRONA FC,0,15,0,239,0,0,379,145,174
250,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0,239,0,0,566,0,0
250,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,15,0,239,0,0,222,464,510
250,MANU VALLEJO,GIRONA FC,0,0,0,239,0,0,566,0,0
145,MIGUEL GUTIÉRREZ,GIRONA FC,1,28,0.04,26,4,0.14,30,1126,1280
250,PABLO TORRE,GIRONA FC,0,21,0,74,2,0.1,288,299,353
250,PAULO GAZZANIGA,GIRONA FC,0,30,0,239,0,0,65,719,965
250,RICARD ARTERO,GIRONA FC,0,0,0,239,0,0,566,0,0
250,SANTIAGO BUENO,GIRONA FC,0,0,0,239,0,0,566,0,0
250,SILVI CLUA,GIRONA FC,0,1,0,239,0,0,547,5,5
20,SÁVIO MOREIRA DE OLIVEIRA,GIRONA FC,8,29,0.28,4,7,0.24,137,594,726
250,TONI FUIDIAS,GIRONA FC,0,0,0,239,0,0,566,0,0
95,VALERY FERNÁNDEZ,GIRONA FC,2,22,0.09,239,0,0,385,149,167
