Assists_Position,NAME,TEAM,ASSISTS,GAMES,ASSISTS PER MATCH
137,IVAN RAKITIC,SEVILLA FC,1,18,0.06
137,DJIBRIL SOW,SEVILLA FC,1,24,0.04
137,LOÏC BADÉ,SEVILLA FC,1,21,0.05
137,GONZALO MELERO,UD ALMERÍA,1,23,0.04
137,MARC PUBILL,UD ALMERÍA,1,16,0.06
137,JAVI GUERRA,VALENCIA CF,1,28,0.04
137,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,1,30,0.03
137,DOMINGOS ANDRÉ RIBEIRO ALMEIDA,VALENCIA CF,1,10,0.1
137,PEP CHAVARRÍA,RAYO VALLECANO,1,15,0.07
137,ALFONSO ESPINO,RAYO VALLECANO,1,28,0.04
137,ÁLVARO GARCÍA,RAYO VALLECANO,1,26,0.04
137,RANDY NTEKA,RAYO VALLECANO,1,11,0.09
137,FLORIAN LEJEUNE,RAYO VALLECANO,1,29,0.03
137,ISI PALAZÓN,RAYO VALLECANO,1,29,0.03
137,MUNIR EL HADDADI,UD LAS PALMAS,1,30,0.03
137,MARC CARDONA,UD LAS PALMAS,1,21,0.05
137,UMAR SADIQ,REAL SOCIEDAD,1,25,0.04
137,BEÑAT TURRIENTES,REAL SOCIEDAD,1,21,0.05
137,MARTÍN ZUBIMENDI,REAL SOCIEDAD,1,29,0.03
137,CARLOS FERNÁNDEZ,REAL SOCIEDAD,1,10,0.1
137,ANDER BARRENETXEA,REAL SOCIEDAD,1,21,0.05
137,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1,28,0.04
137,GIOVANNI GONZÁLEZ,RCD MALLORCA,1,28,0.04
137,MANU MORLANES,RCD MALLORCA,1,27,0.04
137,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,24,0.04
137,MIKEL VESGA,ATHLETIC CLUB,1,22,0.05
137,AURÉLIEN TCHOUAMÉNI,REAL MADRID,1,24,0.04
137,EDUARDO CAMAVINGA,REAL MADRID,1,23,0.04
137,DAVID ALABA,REAL MADRID,1,14,0.07
137,BORJA MAYORAL,GETAFE CF,1,27,0.04
137,JAIME MATA,GETAFE CF,1,27,0.04
137,CARLES ALEÑÁ,GETAFE CF,1,24,0.04
137,RAMON TERRATS,VILLARREAL CF,1,14,0.07
137,ALBERTO MORENO,VILLARREAL CF,1,22,0.05
137,ÉTIENNE CAPOUE,VILLARREAL CF,1,28,0.04
137,JUAN FOYTH,VILLARREAL CF,1,12,0.08
137,JOSÉ ARNAIZ,CA OSASUNA,1,20,0.05
137,DAVID GARCÍA,CA OSASUNA,1,25,0.04
137,PABLO IBÁÑEZ,CA OSASUNA,1,26,0.04
137,AIMAR OROZ,CA OSASUNA,1,29,0.03
137,RUBÉN PEÑA,CA OSASUNA,1,21,0.05
137,ORIOL ROMEU,FC BARCELONA,1,23,0.04
137,ALEJANDRO BALDE,FC BARCELONA,1,18,0.06
137,PABLO MARTÍN PÁEZ GAVIRA,FC BARCELONA,1,12,0.08
137,AITOR RUIBAL,REAL BETIS,1,16,0.06
137,AYOZE PÉREZ,REAL BETIS,1,23,0.04
137,BORJA IGLESIAS,REAL BETIS,1,11,0.09
137,YOUSSOUF SABALY,REAL BETIS,1,6,0.17
137,RUBÉN SOBRINO,CÁDIZ CF,1,25,0.04
137,RUBÉN ALCARAZ,CÁDIZ CF,1,28,0.04
137,CHRIS RAMOS,CÁDIZ CF,1,30,0.03
137,MEMPHIS DEPAY,ATLÉTICO DE MADRID,1,20,0.05
137,ÁLVARO MORATA,ATLÉTICO DE MADRID,1,27,0.04
137,YANNICK CARRASCO,ATLÉTICO DE MADRID,1,3,0.33
137,MARIO HERMOSO,ATLÉTICO DE MADRID,1,23,0.04
137,PABLO BARRIOS,ATLÉTICO DE MADRID,1,19,0.05
137,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,23,0.04
137,ANTONIO BLANCO,DEPORTIVO ALAVÉS,1,27,0.04
137,MYRTO UZUNI,GRANADA CF,1,29,0.03
137,IGNASI MIQUEL,GRANADA CF,1,29,0.03
137,JOSÉ CALLEJÓN,GRANADA CF,1,20,0.05
137,HUGO GONZÁLEZ,VALENCIA CF,1,7,0.14
137,MIKA MÁRMOL,UD LAS PALMAS,1,28,0.04
137,RAÚL ALBIOL,VILLARREAL CF,1,22,0.05
137,JUAN BRANDÁRIZ MOVILLA,UD ALMERÍA,1,23,0.04
137,JON PACHECO,REAL SOCIEDAD,1,16,0.06
137,SERGI ROBERTO,FC BARCELONA,1,8,0.13
137,FAMARA DIÉDHIOU,GRANADA CF,1,8,0.13
137,SORY KABA,UD LAS PALMAS,1,14,0.07
137,ANTONIO LATORRE GRUESO,RCD MALLORCA,1,23,0.04
137,ABDÓN PRATS,RCD MALLORCA,1,26,0.04
137,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,1,20,0.05
137,ASIER VILLALIBRE,ATHLETIC CLUB,1,13,0.08
137,YURI BERCHICHE,ATHLETIC CLUB,1,22,0.05
137,JUAN MIRANDA,REAL BETIS,1,18,0.06
137,SAMU OMORODION,DEPORTIVO ALAVÉS,1,29,0.03
137,SERGIO CAMELLO,RAYO VALLECANO,1,25,0.04
137,OMAR ALDERETE,GETAFE CF,1,23,0.04
137,JOSÉ ÁNGEL CARMONA,GETAFE CF,1,22,0.05
137,SELIM AMALLAH,VALENCIA CF,1,17,0.06
137,IANIS HAGI,DEPORTIVO ALAVÉS,1,18,0.06
137,ÁLEX CENTELLES,UD ALMERÍA,1,10,0.1
137,ANTONIO SÁNCHEZ,RCD MALLORCA,1,23,0.04
137,ARITZ ELUSTONDO,REAL SOCIEDAD,1,9,0.11
137,DODI LUKÉBAKIO,SEVILLA FC,1,15,0.07
137,ROBERT NAVARRO,CÁDIZ CF,1,20,0.05
137,DANI CEBALLOS,REAL MADRID,1,14,0.07
137,VICTOR CHUST,CÁDIZ CF,1,15,0.07
137,SERGI GUARDIOLA,CÁDIZ CF,1,18,0.06
137,HÉCTOR FORT,FC BARCELONA,1,4,0.25
137,LUIS MILLA,GETAFE CF,1,19,0.05
137,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,1,9,0.11
137,ALBERTO MARÍ,VALENCIA CF,1,9,0.11
137,ENES ÜNAL,GETAFE CF,1,3,0.33
137,JAÍLSON MARQUES SIQUEIRA,RC CELTA,1,8,0.13
137,FAITOUT MAOUASSA,GRANADA CF,1,4,0.25
137,FACUNDO PELLISTRI,GRANADA CF,1,8,0.13
137,JAVIER MANQUILLO,RC CELTA,1,6,0.17
137,ILAIX MORIBA,GETAFE CF,1,7,0.14
239,FERNANDO FRANCISCO REGES,SEVILLA FC,0,8,0
239,JESÚS NAVAS,SEVILLA FC,0,22,0
239,FEDERICO GATTONI,SEVILLA FC,0,2,0
239,ÉRIK LAMELA,SEVILLA FC,0,10,0
239,YASSINE BOUNOU,SEVILLA FC,0,1,0
239,NEMANJA GUDELJ,SEVILLA FC,0,19,0
239,EDGAR GONZÁLEZ,UD ALMERÍA,0,25,0
239,DIEGO MARIÑO,UD ALMERÍA,0,1,0
239,IDDRISU BABA,UD ALMERÍA,0,23,0
239,ÁLEX POZO,UD ALMERÍA,0,17,0
239,MARKO MILOVANOVIC,UD ALMERÍA,0,11,0
239,ADRI EMBARBA,UD ALMERÍA,0,28,0
239,SERGIO AKIEME,UD ALMERÍA,0,19,0
239,DION LOPY,UD ALMERÍA,0,27,0
239,LUIS SUÁREZ,UD ALMERÍA,0,10,0
239,LÁZARO VINÍCIUS MARQUES,UD ALMERÍA,0,14,0
239,SRDJAN BABIC,UD ALMERÍA,0,1,0
239,MOUCTAR DIAKHABY,VALENCIA CF,0,14,0
239,GIORGI MAMARDASHVILI,VALENCIA CF,0,30,0
239,JESÚS VÁZQUEZ,VALENCIA CF,0,16,0
239,PABLO GOZÁLBEZ,VALENCIA CF,0,5,0
239,DIMITRI FOULQUIER,VALENCIA CF,0,26,0
239,CENK ÖZKACAR,VALENCIA CF,0,16,0
239,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,18,0
239,SALVI SÁNCHEZ,RAYO VALLECANO,0,1,0
239,RADAMEL FALCAO,RAYO VALLECANO,0,16,0
239,DIEGO MÉNDEZ,RAYO VALLECANO,0,1,0
239,ÓSCAR VALENTÍN,RAYO VALLECANO,0,27,0
239,IVÁN BALLIU,RAYO VALLECANO,0,27,0
239,STOLE DIMITRIEVSKI,RAYO VALLECANO,0,30,0
239,ÓSCAR TREJO,RAYO VALLECANO,0,24,0
239,PATHÉ CISS,RAYO VALLECANO,0,24,0
239,ÁLVARO LEMOS,UD LAS PALMAS,0,3,0
239,DALEY SINKGRAVEN,UD LAS PALMAS,0,7,0
239,OMENUKE MFULU,UD LAS PALMAS,0,5,0
239,ÁLVARO VALLÉS,UD LAS PALMAS,0,30,0
239,SAÚL COCO,UD LAS PALMAS,0,23,0
239,ÁLEX SUÁREZ,UD LAS PALMAS,0,24,0
239,ENZO LOIODICE,UD LAS PALMAS,0,29,0
239,ROBIN LE NORMAND,REAL SOCIEDAD,0,23,0
239,JON OLASAGASTI,REAL SOCIEDAD,0,12,0
239,MOHAMED-ALI CHO,REAL SOCIEDAD,0,11,0
239,ÁLEX REMIRO,REAL SOCIEDAD,0,29,0
239,JAVI LLABRÉS,RCD MALLORCA,0,14,0
239,OMAR MASCARELL,RCD MALLORCA,0,21,0
239,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,0,15,0
239,JAUME COSTA,RCD MALLORCA,0,25,0
239,PREDRAG RAJKOVIC,RCD MALLORCA,0,29,0
239,ANTONIO RAÍLLO,RCD MALLORCA,0,18,0
239,MARTIN VALJENT,RCD MALLORCA,0,22,0
239,AMATH NDIAYE,RCD MALLORCA,0,15,0
239,BERNARDO ESPINOSA,GIRONA FC,0,2,0
239,PAULO GAZZANIGA,GIRONA FC,0,30,0
239,DAVID LÓPEZ,GIRONA FC,0,18,0
239,VALERY FERNÁNDEZ,GIRONA FC,0,22,0
239,YANGEL HERRERA,GIRONA FC,0,21,0
239,UNAI SIMÓN,ATHLETIC CLUB,0,29,0
239,IKER MUNIAIN,ATHLETIC CLUB,0,16,0
239,DANI VIVIAN,ATHLETIC CLUB,0,27,0
239,IMANOL GARCÍA DE ALBÉNIZ,ATHLETIC CLUB,0,6,0
239,AITOR PAREDES,ATHLETIC CLUB,0,28,0
239,UNAI GÓMEZ,ATHLETIC CLUB,0,20,0
239,ANTONIO RÜDIGER,REAL MADRID,0,26,0
239,ANDRIY LUNIN,REAL MADRID,0,18,0
239,ÉDER GABRIEL MILITÃO,REAL MADRID,0,2,0
239,GASTÓN ÁLVAREZ,GETAFE CF,0,27,0
239,JUANMI LATASA,GETAFE CF,0,25,0
239,STEFAN MITROVIC,GETAFE CF,0,11,0
239,DAVID SORIA,GETAFE CF,0,30,0
239,NEMANJA MAKSIMOVIC,GETAFE CF,0,29,0
239,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,0,15,0
239,DJENÉ DAKONAM,GETAFE CF,0,26,0
239,MIGUEL RODRÍGUEZ,RC CELTA,0,11,0
239,JOSEPH AIDOO,RC CELTA,0,6,0
239,FRANCO CERVI,RC CELTA,0,14,0
239,HUGO SOTELO,RC CELTA,0,13,0
239,WILLIOT SWEDBERG,RC CELTA,0,10,0
239,CARLES PÉREZ,RC CELTA,0,11,0
239,FRAN BELTRÁN,RC CELTA,0,25,0
239,GABRI VEIGA,RC CELTA,0,1,0
239,IVÁN VILLAR,RC CELTA,0,10,0
239,UNAI NÚÑEZ,RC CELTA,0,29,0
239,JORGE CUENCA,VILLARREAL CF,0,23,0
239,FILIP JØRGENSEN,VILLARREAL CF,0,29,0
239,DENIS SUÁREZ,VILLARREAL CF,0,4,0
239,JOSÉ LUÍS MORALES,VILLARREAL CF,0,23,0
239,SANTI COMESAÑA,VILLARREAL CF,0,21,0
239,AÏSSA MANDI,VILLARREAL CF,0,14,0
239,MOI GÓMEZ,CA OSASUNA,0,23,0
239,LUCAS TORRÓ,CA OSASUNA,0,21,0
239,SERGIO HERRERA,CA OSASUNA,0,26,0
239,IKER MUÑOZ,CA OSASUNA,0,20,0
239,ANSU FATI,FC BARCELONA,0,3,0
239,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,20,0
