Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
145,ADRIÀ PEDROSA,SEVILLA FC,1,26,0.04
145,ARSEN ZAKHARYAN,REAL SOCIEDAD,1,21,0.05
145,SORY KABA,UD LAS PALMAS,1,14,0.07
145,KAIKY FERNANDES MELO,UD ALMERÍA,1,8,0.13
145,DANIEL GARCÍA CARRILLO,ATHLETIC CLUB,1,13,0.08
145,ASIER VILLALIBRE,ATHLETIC CLUB,1,13,0.08
145,SERGI CANÓS,VALENCIA CF,1,20,0.05
145,JOSÉ ÁNGEL CARMONA,GETAFE CF,1,22,0.05
145,KIKE PÉREZ,RAYO VALLECANO,1,22,0.05
145,SERGI ALTIMIRA,REAL BETIS,1,12,0.08
145,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,1,18,0.06
145,HUGO GUILLAMÓN,VALENCIA CF,1,21,0.05
145,CRISTIAN HERRERA,UD LAS PALMAS,1,7,0.14
145,JUAN HERZOG,UD LAS PALMAS,1,3,0.33
145,UNAI GARCÍA,CA OSASUNA,1,7,0.14
145,ROBERT NAVARRO,CÁDIZ CF,1,20,0.05
145,ABDE EZZALZOULI,REAL BETIS,1,22,0.05
145,ÓSCAR RODRÍGUEZ,GETAFE CF,1,17,0.06
145,WILLIAM SILVA DE CARVALHO,REAL BETIS,1,17,0.06
145,MARC GUIU,FC BARCELONA,1,3,0.33
145,ARDA GÜLER,REAL MADRID,1,5,0.2
145,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,1,9,0.11
145,BRUNO MÉNDEZ,GRANADA CF,1,10,0.1
145,JOHNNY CARDOSO,REAL BETIS,1,9,0.11
145,JESÚS SANTIAGO PÉREZ,GETAFE CF,1,7,0.14
145,NACHO VIDAL,RCD MALLORCA,1,12,0.08
145,THEO CORBEANU,GRANADA CF,1,6,0.17
145,FACUNDO PELLISTRI,GRANADA CF,1,8,0.13
145,TADEO ALLENDE,RC CELTA,1,6,0.17
145,PABLO FORNALS,REAL BETIS,1,8,0.13
250,FERNANDO FRANCISCO REGES,SEVILLA FC,0,8,0
250,JESÚS NAVAS,SEVILLA FC,0,22,0
250,MARCOS ACUÑA,SEVILLA FC,0,15,0
250,ÓLIVER TORRES,SEVILLA FC,0,25,0
250,JUANLU SÁNCHEZ,SEVILLA FC,0,21,0
250,FEDERICO GATTONI,SEVILLA FC,0,2,0
250,YASSINE BOUNOU,SEVILLA FC,0,1,0
250,LOÏC BADÉ,SEVILLA FC,0,21,0
250,DIEGO MARIÑO,UD ALMERÍA,0,1,0
250,IDDRISU BABA,UD ALMERÍA,0,23,0
250,ÁLEX POZO,UD ALMERÍA,0,17,0
250,LUCAS ROBERTONE,UD ALMERÍA,0,26,0
250,DION LOPY,UD ALMERÍA,0,27,0
250,LÁZARO VINÍCIUS MARQUES,UD ALMERÍA,0,14,0
250,GONZALO MELERO,UD ALMERÍA,0,23,0
250,SRDJAN BABIC,UD ALMERÍA,0,1,0
250,GIORGI MAMARDASHVILI,VALENCIA CF,0,30,0
250,PABLO GOZÁLBEZ,VALENCIA CF,0,5,0
250,DIMITRI FOULQUIER,VALENCIA CF,0,26,0
250,CENK ÖZKACAR,VALENCIA CF,0,16,0
250,THIERRY RENDALL CORREIA,VALENCIA CF,0,23,0
250,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,18,0
250,PEP CHAVARRÍA,RAYO VALLECANO,0,15,0
250,ALFONSO ESPINO,RAYO VALLECANO,0,28,0
250,SALVI SÁNCHEZ,RAYO VALLECANO,0,1,0
